"x"
"‘academic"
"‘e"
"‘information"
"‘librarian’"
"‘metadata’"
"‘one"
"‘public"
"‘reference"
"‘the"
"‘건강"
"‘경북지식문화유산’으로"
"‘경제’가"
"‘도서관"
"‘독서활동상황’"
"‘매년"
"‘메이커스페이스’"
"‘메이킹’"
"‘무한상상실’"
"‘범죄데이터’"
"‘범죄데이터’는"
"‘범죄데이터’로"
"‘사후조치"
"‘소비자건강정보’인"
"‘실습"
"‘실습환경’"
"‘역사’와"
"‘우울’"
"‘의료정보학’"
"‘일반형’"
"‘전문형’"
"‘정보과학’"
"‘진로"
"‘창의적인"
"‘최소"
"‘한"
"‘현장실습"
"‘확대형’으로"
"“african"
"“city"
"“ncs"
"“woman”권으로"
"“world"
"“공공기관"
"”권"
"『시사총보』"
"··학년"
"·학년에게는"
"·학년은"
"·확장"
"aasl"
"academic"
"acceptance"
"access"
"ace"
"acf"
"administration"
"african"
"agenda"
"aidmaaisas"
"ajzen"
"allen"
"allocation"
"alma"
"alpha"
"altmetrics"
"american"
"american”권과"
"analysis"
"analytics"
"and"
"ands"
"anova"
"anzlic"
"apache"
"apc"
"apcarticle"
"api"
"apriori"
"archival"
"archivesspace"
"arnheim"
"arts"
"arulesviz"
"atom"
"attraction"
"australian"
"avison"
"bartlett"
"behavior"
"behavior’"
"bibframe"
"big"
"board"
"bonn"
"book"
"book’"
"book’과"
"borich"
"boundary"
"bow"
"bt"
"btict"
"cc"
"ccc"
"cgi"
"chain"
"change"
"charge"
"check"
"cidoc"
"citation"
"city"
"class"
"classification"
"clustering"
"cnn"
"coalition"
"code"
"coefficient"
"commercial"
"concept"
"congress"
"consortium"
"contributor"
"conversation"
"coreadership"
"crm"
"cronbach’s"
"customer"
"cvm"
"data"
"datacite"
"datalod"
"dataone"
"dataset"
"dataverse"
"db"
"dbdc"
"dcat"
"dcc"
"dci"
"ddc"
"deep"
"description"
"detection"
"dirichlet"
"disease"
"distance"
"dls"
"dmp"
"dmr"
"docvec"
"domain"
"dpla"
"dream"
"dtw"
"dvd"
"earkeuropean"
"ebm"
"ed"
"element"
"ellis"
"email"
"endowment"
"ereserve"
"erpevent"
"erpmmr"
"erpmmrlambda"
"erpmmrλ"
"etpb"
"etri"
"expression"
"fact"
"family"
"fdma"
"fema"
"fgdccsdgm"
"fgi"
"figshare"
"fmeasure"
"focus"
"for"
"form"
"fr"
"frad"
"framework"
"franca"
"frbr"
"frbroo"
"freedom"
"frsad"
"fuseki"
"games"
"gdp"
"giorgi"
"glam"
"global"
"gmd"
"google"
"granularity"
"hayes"
"hedging"
"heron"
"hirsch"
"hoax"
"horace"
"ibm"
"icpsr"
"ict"
"id"
"identifier"
"identifierisni"
"idorcid"
"ifla"
"igrm"
"imp"
"index"
"indexdci"
"information"
"inspire"
"intensive"
"interested"
"international"
"interuniversity"
"isa"
"isaarcpf"
"isadg"
"isbd"
"isdf"
"isdiah"
"isni"
"iso"
"isoiec"
"it"
"jena"
"jif"
"jigsaw"
"john"
"jonassen"
"journalism"
"kano"
"kbs"
"kci"
"kcr"
"kdc"
"keris"
"kesli"
"kill"
"kingdon"
"kirkpatrick"
"km"
"kmeans"
"kmo"
"knowledge"
"kolas"
"kolisnet"
"konlpy"
"korea"
"kormarc"
"krict"
"krkwic"
"krm"
"ksdc"
"latent"
"lc"
"lclibrary"
"lda"
"ldalatent"
"learning"
"leckie"
"libpass"
"libqual"
"librarian"
"library"
"library’"
"life"
"life”와"
"linked"
"literacy"
"lod"
"lodlinked"
"lrm"
"lstm"
"machine"
"macro"
"madtw"
"marc"
"marginal"
"massive"
"mbc"
"mbigs"
"mbti"
"mcquitty"
"mdr"
"mds"
"mec"
"media"
"member"
"mendeley"
"metadata"
"micro"
"mif"
"mmorpg"
"mmrmaximal"
"mockingbird"
"model"
"modeling"
"mpa"
"msr"
"multiplayer"
"nak"
"name"
"national"
"naver"
"ncs"
"nea"
"needs"
"nefis"
"netdraw"
"netminer"
"network"
"networks"
"neural"
"nfc"
"niso"
"npi"
"nvivo"
"oa"
"oaipmh"
"oais"
"objectives"
"oecd"
"of"
"office"
