name,초중고,설립년도,설립형태,소재지도로명주소,시도교육청,교육지원청,위도,경도
영동미래고등학교,고등학교,1954,사립,충청북도 영동군 영동읍 대학로 10,충청북도교육청,충청북도영동교육지원청,36.17809238,127.7795959
선인고등학교,고등학교,1954,공립,인천광역시 미추홀구 석정로 165,인천광역시교육청,인천광역시남부교육지원청,37.47395988,126.6519987
수안보중학교,중학교,1954,공립,충청북도 충주시 수안보면 관동길 18,충청북도교육청,충청북도충주교육지원청,36.84625645,127.9975031
삼괴중학교,중학교,1954,사립,경기도 화성시 우정읍 장안로 35,경기도교육청,경기도화성오산교육지원청,37.08982064,126.8222924
추풍령중학교,중학교,1954,사립,충청북도 영동군 추풍령면 신안로 106,충청북도교육청,충청북도영동교육지원청,36.21774616,128.0027118
구미전자공업고등학교,고등학교,1954,국립,경상북도 구미시 임수로 48,경상북도교육청,경상북도구미교육지원청,36.11720873,128.4046109
용인고등학교,고등학교,1954,공립,경기도 용인시 처인구 금학로253번길 20-21,경기도교육청,경기도용인교육지원청,37.24057072,127.1930495
지동초등학교,초등학교,1954,공립,경기도 수원시 팔달구 중부대로 67,경기도교육청,경기도수원교육지원청,37.27715909,127.024503
부여여자고등학교,고등학교,1954,공립,충청남도 부여군 부여읍 부소로 47,충청남도교육청,충청남도부여교육지원청,36.28531993,126.9152923
반월중학교,중학교,1954,공립,경기도 안산시 상록구 남산평길 25,경기도교육청,경기도안산교육지원청,37.30459718,126.8992679
무릉중학교,중학교,1954,공립,제주특별자치도 서귀포시 대정읍 서삼중로 106,제주특별자치도교육청,제주특별자치도서귀포시교육지원청,33.27282519,126.201483
기계중학교,중학교,1954,공립,경상북도 포항시 북구 기계면 기계로 218,경상북도교육청,경상북도포항교육지원청,36.07736697,129.1960801
기린초등학교방동분교장,초등학교,1954,공립,강원도 인제군 기린면 조침령로 671,강원도교육청,강원도인제교육지원청,37.95555116,128.3737604
영주여자고등학교,고등학교,1954,공립,경상북도 영주시 명륜길 58,경상북도교육청,경상북도영주교육지원청,36.83029873,128.6287893
지평중학교,중학교,1954,공립,경기도 양평군 지평면 지평로 418,경기도교육청,경기도양평교육지원청,37.47447401,127.6345589
강남중학교,중학교,1954,공립,인천광역시 강화군 길상면 강화남로 62-2,인천광역시교육청,인천광역시강화교육지원청,37.64384136,126.4790998
창원여자중학교,중학교,1954,사립,경상남도 창원시 의창구 팔용로 487,경상남도교육청,경상남도창원교육지원청,35.25933184,128.6164149
연풍중학교,중학교,1954,공립,충청북도 괴산군 연풍면 향교로 55,충청북도교육청,충청북도괴산증평교육지원청,36.76687582,128.0002909
제물포고등학교,고등학교,1954,공립,인천광역시 중구 자유공원로 58-9,인천광역시교육청,인천광역시남부교육지원청,37.47726936,126.6238449
우도중학교,중학교,1954,공립,제주특별자치도 제주시 우도면 우도로 156-11,제주특별자치도교육청,제주특별자치도제주시교육지원청,33.50514824,126.9554325
