NID,GUBUN,CODE12,CODE3,CODE4,BIR1,BIR2,BIR3,TYPE,MFAM1,MFAM2,MFAM3,FFAM1,FFAM2,FFAM3,FAM1,FAM2,FAM3,HFAM1,HFAM2,Q1A1,Q1A2,Q1B1,Q1B2,Q1C1,Q1C2,Q2,Q2A,Q3,Q3A,Q4,Q4A,Q5,Q6,Q7,Q7_1,Q7_2,Q8,Q9,Q9A,Q10,Q11,Q12,Q12_1,Q13,Q14A1,Q14A2,Q14A3,Q15,Q16,Q17,Q18,Q19A1,Q19A2,Q19A3,Q19A4,BQ11A1,BQ11A2,BQ11A3,BQ11A4,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q29_1,Q30,Q30_1,Q31A1,Q31A2,Q31A3,Q31A4,Q31A5,Q31A6,Q31A7,Q31A8,Q31A9,Q32A1,Q32A2,Q32A3,Q32A4,Q32A5,Q32A6,Q33,Q33_1,Q34,Q35,Q35_1,Q35_2,Q36,Q37,Q38,Q39,Q40,Q41,Q41A,Q41B,Q41C1,Q41C2,Q42A1,Q42A2,Q42A3,Q42A4,Q42A5,Q42A6,Q42A7,Q42A8,Q42A9,Q42A10,Q42A11,Q42A12,Q42A13,Q43,Q44,Q45,Q46,Q47,Q47_1,Q48,Q48A,Q49,Q49A,Q49B1,Q49B2,Q50,Q50A,Q50B1,Q50B2,Q51,Q52,Q53,Q54,Q54_1,Q55,Q56A1,Q56A2,Q56A3,Q57,Q58,Q59,BQ25,Q60,Q60_1,Q61,Q62,Q63,Q64,Q65A1,Q65A2,Q66,Q67A1,Q67A2,Q67A3,Q67A4,Q67A5,Q68,Q68_1,Q69,Q70,Q70_1,Q70_2,Q71A1,Q71A2,Q71A3,Q71A4,Q72,Q73,Q74,Q74A,Q75A1,Q75A2,Q75A3,Q75A4,Q75A5,Q75A6,Q75A7,Q76A1,Q76A2,Q76A3,Q76A4,Q76A5,Q77A1,Q77A2,Q77A3,Q78,Q79,Q79_1,Q79_2,Q80,Q80A,Q81,Q81A,Q82,Q82_1A1,Q82_1A2,Q82_1B1,Q82_1B2,Q83A1,Q83A2,Q83A3,Q83A4,Q83_1A1,Q83_1A2,Q83_1A3,Q83_1A4,Q84,Q85,Q86,Q87A1,Q87A2,Q87A3,Q87A4,DQ1,DQ2,DQ3,BDQ3A1,DQ4A1,DQ4A2,DQ4A3,DQ4B,DQ4C,DQ4D1,DQ4D2,DQ4E,DQ4F1,DQ4F2,DQ5A,DQ5B1,DQ5B2,DQ5C,DQ5D,DQ5E,DQ5F1,DQ5F2,WT,WWT
22092,3,37350340101,10,8,2002,5,2,1,2,1,0,3,1,1,5,2,1,3,3,5,12,13,18,19,33,1,27,1,30,1,32, , , , , , , , , , ,2, ,3,4,4,4, , , , , , , , ,4,4,3,4, ,1,2,2, ,2,9000,2,1,10,100, , ,2,2,1,2,2,2,2,2,2,2,4,2,3,3,3,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,4,2,3,2,2,1,1, , ,4,1,1, ,2,2,2,4,4,4,4,4,1,4,5,2, , ,6,2,2,3,7,1,2,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,5,2,1, , , , , , ,2, , , , , , , , , , , , , , , , , , , ,1, ,6,2, ,4,4, , , , , , , , , , , , , , , ,.969574342601534,5324.14470323163
22097,3,37350340101,12,10,2002,5,6,1,1,0,0,2,1,0,3,1,0,1,1,4,11,12,18,19,30,1,22,1,30,1,32, , , , , , , , , , ,2, ,2,2,4,4, , , , , , , , ,4,4,3,4, ,1,2,2, ,2,8500,2,1,20,100, , ,2,2,2,2,1,2,2,2,2,2,4,2,3,3,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2,2,4,2,2,1,1, , ,4,2,1, ,2,2,2,4,4,4,4,4,1,4,5,2, , ,6,1,2,2,1,3,2,4,4,3,3,3,4,4,3,4,4,4,4,4,2,2,3,2,1, , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, ,6,2, ,3,3, , , , , , , , , , , , , , , ,.428430734759055,2352.60683677816
22101,3,22050640631,12,22,2000,3,10,1,2,1,0,1,0,0,3,1,0,1,1,6,13,14,19,20,35,1,20,2, ,2, , , , , , , , , , , ,2, ,2,4,5,5, , , , , , , , ,4,4,3,3, ,1,2,2, ,8,8500,2,2,12,100, , ,2,2,1,2,1,2,2,2,2,3,4,4,5,5,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,4,2,4,2,2,1,3, , ,4,2,1, ,2,2,3,4,4,5,5,4,1,3,5,2, , ,2,5,5,4,2,4,1, ,4,5,5,4,4,3,4,4,4,3,3,4,3,3,3,1,1, , , , , , ,1, , ,2019,2,2,1,2,2, ,3, , ,1,1,2,3,4,3,3,1, ,8,2, ,4,4, , , , , , , , , , , , , , , ,.546710110156514,3002.10474772146
22102,3,22050640631,18,33,2001,10,10,1,1,0,0,2,1,0,3,1,0,1,1,5,12,13,18,19,35,1,19,1,26,2, , , , , , , , , , , ,2, ,1,4,5,4, , , , , , , , ,5,5,4,4, ,1,2,2, ,4,8800,2,3,5,100, , ,2,2,2,2,1,2,2,2,2,5,5,4,4,5,5,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,4,4,4,2,2,1,2, , ,4,2,1, ,2,2,4,5,4,5,4,4,2, ,3,2, , ,7,2,2,2,2,3,1, ,4,5,4,4,5,4,4,4,4,3,3,4,4,4,3,1,1, , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, ,8,2, ,6,5, , , , , , , , , , , , , , , ,.483155141185124,2653.11051742329
22195,3,22030550671,1,1,2001,8,28,1,2,0,0,2,1,0,4,1,0,1,1,4,7,14,19,20,30,1,30,1,33,1,35, , , , , , , , , , ,1,3,3,5,5,5, , , , , , , , ,2,4,3,3, ,1,2,2, ,4,8000,3,1,10,0, , ,2,2,2,2,1,2,2,2,2,4,3,3,4,4,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,4,4,4,2,2,1,3, , ,5,2,1, ,2,2,4,3,4,4,3,4,1,5,5,2, , ,5,3,1,6,2,4,2,6,4,4,3,4,4,5,4,4,1,1,1,1,2,4,3,1,1, , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, ,5,2, ,4,4, , , , , , , , , , , , , , , ,.628101683540661,3449.04367265028
22200,3,37030350321,13,13,2003,6,3,1,1,0,0,3,2,0,4,2,0,2,2,7,13,14,19,20,40,1,20,2, ,2, , , , , , , , , , , ,2, ,1,4,4,4, , , , , , , , ,4,4,3,3, ,1,2,2, ,5,9000,1,1,60,100, , ,9,9,2,2,2,2,2,2,2,3,3,4,3,3,3,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,3,4,3,2,2,1,3, , ,4,1,2,4,2,2,2,4,5,4,4,4,2, ,5,2, , ,5,4,4,3,1,2,2,3,4,2,3,4,3,4,3,1,1,2,1,1,4,3,3,1,1, , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, ,4,1, ,6,6, , , , , , , , , , , , , , , ,.461386945125137,2533.5765934534
22205,3,2403068111A,8,8,2000,8,13,2,3,1,1,2,1,0,5,2,1,3,3,7,12,13,18,19,26,2, ,1,27,1,30, , , , , , , , , , ,2, ,3,2,4,5, , , , , , , , ,3,4,4,4, ,1,2,2, ,7,9000,3,1,20,100, , ,2,2,2,2,2,2,2,1,2,3,4,3,4,3,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2,3,4,2,2,1,3, , ,5,1,1, ,2,2,4,3,2,3,2,1,2, ,4,2, , ,3,2,2,3,1,2,2,4,4,4,3,5,3,4,2,4,4,4,3,1,2,3,3,1,1, , , , , , ,1, , ,2019,2,2,1,2,2, ,4, , ,1,1,2,3,4,4,2,1, ,7,2, ,6,6, , , , , , , , , , , , , , , ,.284122478081547,1560.17864776419
22207,3,2403068111A,8,8,2000,8,13,2,3,1,1,2,1,0,5,2,1,3,3,7,12,13,18,19,29,2, ,2, ,2, , , , , , , , , , , ,2, ,3,4,4,5, , , , , , , , ,2,4,3,4, ,1,2,2, ,6,10000,3,1,20,100, , ,2,2,2,2,2,2,2,1,2,2,3,2,3,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,3,2,4,2,2,1,3, , ,5,1,1, ,2,2,3,3,3,4,2,1,2, ,5,2, , ,4,2,2,3,9,3,2,3,4,3,3,4,5,5,3,4,4,4,3,2,2,2,3,1,1, , , , , , ,1, , ,2019,2,2,1,2,2, ,4, , ,1,1,2,4,5,4,2,2, ,8,2, ,6,6, , , , , , , , , , , , , , , ,.598184162717624,3284.76002463583
22210,3,2402067049A,2,2,2001,10,2,2,3,1,1,1,0,0,4,1,1,2,2,0,7,8,17,18,25,3, ,1,29,2, , , , , , , , , , , ,2, ,3,4,5,4, , , , , , , , ,4,5,4,4, ,1,2,2, ,6,10000,3,1,10,100, , ,9,9,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,4,1,2,2,2,1,1, , ,5,2,1, ,2,2,3,4,4,5,4,4,1,1,4,2, , ,2,6,4,3,2,4,2,6,4,2,1,3,3,4,2,2,2,2,1,1,2,3,2,1,1, , , , , , ,1, , ,2019,2,2,1,2,2, ,5, , ,1,1,3,2,2,1,2,1, ,7,2, ,4,4, , , , , , , , , , , , , , , ,.236768731734622,1300.14887313682
22230,3,24050752751,4,2,2000,6,4,3,2,0,2,1,1,0,3,1,2,3,3,4,10,11,19,20,32,2, ,2, ,2, , , , , , , , , , , ,2, ,2,4,3,4, , , , , , , , ,4,4,4,3, ,1,2,2, ,2,10700,3,1,15,100, , ,9,9,2,2,2,2,2,1,2,4,3,3,4,3,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,4,4,4,2,2,2, , , ,5,2,1, ,2,2,4,3,4,4,3,4,2, ,4,2, , ,2,1,2,2,3,4,2,4,4,4,3,4,3,4,3,4,4,4,4,3,2,3,3,1,1, , , , , , ,1, , ,2019,2,2,1,2,2, ,4, , ,1,1,2,4,4,4,4,2, ,8,2, ,4,4, , , , , , , , , , , , , , , ,1.55052882175943,8514.29276833812
