NID,GUBUN,CODE12,CODE3,CODE4,BIR1,BIR2,BIR3,TYPE,MFAM1,MFAM2,MFAM3,FFAM1,FFAM2,FFAM3,FAM1,FAM2,FAM3,HFAM1,HFAM2,Q1A1,Q1A2,Q1B1,Q1B2,Q1C1,Q1C2,Q2,Q2A,Q3,Q3A,Q4,Q4A,Q5,Q6,Q7,Q7_1,Q7_2,Q8,Q9,Q9A,Q10,Q11,Q12,Q12_1,Q13,Q14A1,Q14A2,Q14A3,Q15,Q16,Q17,Q18,Q19A1,Q19A2,Q19A3,Q19A4,BQ11A1,BQ11A2,BQ11A3,BQ11A4,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q29_1,Q30,Q30_1,Q31A1,Q31A2,Q31A3,Q31A4,Q31A5,Q31A6,Q31A7,Q31A8,Q31A9,Q32A1,Q32A2,Q32A3,Q32A4,Q32A5,Q32A6,Q33,Q33_1,Q34,Q35,Q35_1,Q35_2,Q36,Q37,Q38,Q39,Q40,Q41,Q41A,Q41B,Q41C1,Q41C2,Q42A1,Q42A2,Q42A3,Q42A4,Q42A5,Q42A6,Q42A7,Q42A8,Q42A9,Q42A10,Q42A11,Q42A12,Q42A13,Q43,Q44,Q45,Q46,Q47,Q47_1,Q48,Q48A,Q49,Q49A,Q49B1,Q49B2,Q50,Q50A,Q50B1,Q50B2,Q51,Q52,Q53,Q54,Q54_1,Q55,Q56A1,Q56A2,Q56A3,Q57,Q58,Q59,BQ25,Q60,Q60_1,Q61,Q62,Q63,Q64,Q65A1,Q65A2,Q66,Q67A1,Q67A2,Q67A3,Q67A4,Q67A5,Q68,Q68_1,Q69,Q70,Q70_1,Q70_2,Q71A1,Q71A2,Q71A3,Q71A4,Q72,Q73,Q74,Q74A,Q75A1,Q75A2,Q75A3,Q75A4,Q75A5,Q75A6,Q75A7,Q76A1,Q76A2,Q76A3,Q76A4,Q76A5,Q77A1,Q77A2,Q77A3,Q78,Q79,Q79_1,Q79_2,Q80,Q80A,Q81,Q81A,Q82,Q82_1A1,Q82_1A2,Q82_1B1,Q82_1B2,Q83A1,Q83A2,Q83A3,Q83A4,Q83_1A1,Q83_1A2,Q83_1A3,Q83_1A4,Q84,Q85,Q86,Q87A1,Q87A2,Q87A3,Q87A4,DQ1,DQ2,DQ3,BDQ3A1,DQ4A1,DQ4A2,DQ4A3,DQ4B,DQ4C,DQ4D1,DQ4D2,DQ4E,DQ4F1,DQ4F2,DQ5A,DQ5B1,DQ5B2,DQ5C,DQ5D,DQ5E,DQ5F1,DQ5F2,WT,WWT
10001,1,1111078083A,67,67,1989,9,19,2,1,0,0,3,0,2,4,0,2,2,2,5,12,13,18,19,39,1,30,1,33,2, ,2,3,2, , , ,2, ,1,3,2, ,1,4,5,5,1,1,2,1,4,5,4,4, , , , , , ,2,2,1,5,9200,1,2,120,0,2, ,2,2,2,2,2,2,2,2,2,1,3,2,3,2,4,2,5,3,1,2,4,1, , , , , , , , , , , , , , , , , , , , , , , ,3,290,3,2, ,3, ,3, , , ,3, , , ,1,4, , , ,7,5,2,2,2,2,1, , , ,3,1,1, ,2,2,2,4,4,4,3,4,2, ,4,1,2,1,4,2,4,3,3,3,2,5,5,2,3,3,3,4,3,4,5,5,4,4,4,4,5,1,1, , ,1, ,1, ,2, , , , , , , , , , , , , , , , , , , ,2,3,4, ,6,4,4,1,7,2009,3,1,2014,2,1,1, ,1,1,4,4,1,1.16754266292123,6411.23203395623
10002,1,1111078083A,67,67,1987,3,5,2,1,0,0,3,0,2,4,0,2,2,2,7,12,13,18,19,34,2, ,2, ,2, ,5,1,2, , , ,2, ,1,2,2, ,2,4,5,4,1,2,2, ,3,3,4,3, , , , , , ,2,2,2,2,9500,2,2,120,0,2, ,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,1, ,2,2,1,2,1, , , , , , , , , , , , , , , , , , , , , , , ,5,230,2,1,3,3, ,3, , , ,3, , , ,1,1,1,1, ,8,4,1,2,2,2,1, , , ,4,2,1, ,2,2,3,4,4,4,3,2,2, ,4,1,2,2,5,3,3,2,1,2,2,3,4,2,2,2,4,3,4,4,5,4,4,2,4,3,4,1,1, , ,2,1,1, ,2, , , , , , , , , , , , , , , , , , , ,2,3,4, ,5,4,4,9,1,2006,3,1,2008,2,1,2, ,1,1,3,2,0,1.61866476744323,8888.44214335017
10003,1,1111078083A,9,9,1992,2,8,2,2,0,1,1,0,0,3,0,1,1,1,7,12,13,19,20,34,1,30,2, ,2, ,5,2,2, , , ,2, ,1,3,2, ,1,4,4,4,1,1,2,1,3,3,3,4, , , , , , ,2,2,1,5,9000,1,2,150,0,2, ,1,2,2,2,2,2,2,1,2,2,4,1,3,2,4,2,5,2,2,2,4,2, , , , , , , , , , , , , , , , , , , , , , , ,3,230,3,2, ,2,2017,3, , , ,3, , , ,1,4, , , ,6,4,1,2,2,2,1, , , ,4,1,1, ,2,2,3,4,4,4,4,4,2, ,4,2, , ,6,2,6,2,5,4,2,10,4,4,4,2,4,2,4,4,4,4,3,3,4,4,4,1,1, , ,1, ,1, ,2, , , , , , , , , , , , , , , , , , , ,1,3,5, ,6,6,4,1,5,2010,3,1,2017,2,1,1, ,1,1,7,0,7,1.29692305928116,7121.68807813482
10005,1,1111078083A,3,3,1989,4,11,2,2,0,1,1,0,0,3,0,1,1,1,5,12,13,18,19,34,1,29,2, ,2, ,2,1,2, , , ,2, ,1,3,2, ,1,4,4,5,1,1,1,1,3,4,5,4, , , , , , ,2,2,2,2,9000,1,1,150,0,2, ,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,2,1,2,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , ,3,260,3,2, ,3, ,3, , , ,3, , , ,1,4, , , ,6,4,1,2,2,2,1, , , ,4,1,1, ,2,2,3,4,4,4,3,4,2, ,4,2, , ,6,2,3,4,5,3,2,6,4,2,2,3,3,4,3,4,5,5,4,3,4,5,4,1,1, , ,1, ,1, ,2, , , , , , , , , , , , , , , , , , , ,1,3,3, ,6,4,4,1,1,2008,3,1,2014,2,1,1, ,1,1,3,4,3,1.29692305928116,7121.68807813482
10006,1,1111078083A,20,20,1980,7,2,2,1,0,1,1,0,0,2,0,1,1,1,4,12,13,18,19,35,2, ,2, ,2, ,4,1,2, , , ,2, ,1,3,2, ,1,3,4,4,1,1,2,1,3,4,3,3, , , , , , ,2,2,2,4,8700,2,2,200,0,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , ,5,300,3,2, ,3, ,3, , , ,3, , , ,1,1,2,2,4,7,4,2,2,2,2,1, , , ,4,2,1, ,2,2,4,4,4,4,3,3,2, ,4,2, , ,2,1,2,2,1,3,2,3,5,3,3,3,3,4,4,4,5,5,3,3,4,4,5,1,1, , ,2,6,2,1,2, , , , , , , , , , , , , , , , , , , ,1,3,3, ,5,4,4,9,5,1999,3,1,2004,2,2, ,2,1,1,1,4,0,1.72446290540245,9469.40285061887
10007,1,1111078083A,31,31,1981,8,2,2,2,0,1,1,0,0,3,0,1,1,1,5,13,14,18,19,33,2, ,2, ,2, ,2,5,2, , , ,2, ,1,3,2, ,1,3,4,3,2, , , , , , , , , , , ,4,2,1,2,2,2,9000,1,2,150,0,2, ,2,2,2,2,2,2,2,2,2,2,4,2,3,2,3,1, ,3,2,1,4,1, , , , , , , , , , , , , , , , , , , , , , , ,5,250,3,1,1,3, ,3, , , ,3, , , ,1,1,1,2,5,8,4,1,3,2,2,1, , , ,4,2,1, ,2,2,4,3,4,3,2,2,2, ,4,2, , ,5,2,3,2,1,2,2,2,4,3,3,3,3,4,4,3,4,4,3,2,4,3,4,1,1, , ,2,1,2,3,2, , , , , , , , , , , , , , , , , , , ,1,3,2, ,4,3,3, , , , , , , ,1,2, ,1,1,1,3,0,1.72446290540245,9469.40285061887
10008,1,1111053112A,11,10,1980,11,12,2,1,0,0,2,0,1,3,0,1,1,1,3,12,13,18,19,39,2, ,2, ,2, ,2,1,1,2, ,2,1,1,2,2,2, ,1,4,4,5,1,2,2, ,3,4,4,3, , , , , , ,2,2,2,4,8500,1,2,70,0,2, ,2,2,2,2,2,1,1,2,1,2,3,2,2,2,3,1, ,3,2,4,4,3,3,2,2,2,3, , ,4,6,4,3,4,2,4,1,1,1,3,3,3,2,1,9, , , , , ,3, ,3, , , ,3, , , ,1,1,1,2,5,5,4,2,2,2,2,3, ,2, ,4,2,1, ,2,2,2,4,4,4,4,2,2, ,4,2, , ,3,2,3,3,3,3,2,3,4,2,2,3,3,3,4,3,4,5,2,2,4,3,4,1,4, , ,2,5,2,1,2, , , , , , , , , , , , , , , , , , , ,2,1,4, ,5,4,4,1,1,1999,3,1,2001,2, , , , , , , , ,2.21205597068866,12146.8829795902
10009,1,1111053112A,31,29,1987,12,22,2,1,0,0,3,0,2,4,0,2,2,2,6,12,13,18,19,39,1,29,2, ,2, ,3,2,2, , , ,2, ,1,3,2, ,1,5,4,4,1,1,2,1,3,4,4,4, , , , , , ,2,2,2,5,9300,1,2,100,5,2, ,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,5,3,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , ,3,280,3,2, ,3, ,3, , , ,3, , , ,2, , , , ,7,5,2,2,2,2,1, , , ,4,1,1, ,2,2,3,4,4,4,3,4,2, ,4,1,2,1,4,1,5,2,5,4,2,8,4,3,3,3,3,4,4,4,5,5,4,3,4,4,5,1,1, , ,1, ,1, ,2, , , , , , , , , , , , , , , , , , , ,2,3,5, ,6,4,4,1,2,2006,3,1,2011,2,1,1, ,1,1,7,7,0,1.61866476744323,8888.44214335017
10010,1,1111053112A,31,29,1990,11,18,2,1,0,0,3,0,2,4,0,2,2,2,5,12,13,18,20,34,1,30,2, ,2, ,7,1,2, , , ,2, ,1,2,2, ,1,4,4,4,1,2,2, ,3,3,4,3, , , , , , ,2,2,1,2,9000,2,2,80,10,2, ,2,2,2,2,2,2,2,2,2,2,3,2,3,2,4,1, ,3,2,2,4,1, , , , , , , , , , , , , , , , , , , , , , , ,3,190,2,2, ,3, ,3, , , ,3, , , ,1,1,1,2,2,7,5,1,2,2,2,1, , , ,3,2,1, ,2,2,2,4,4,3,4,3,2, ,5,1,2,2,5,2,4,3,3,3,2,5,5,4,4,2,4,3,3,3,4,5,4,2,4,4,4,1,1, , ,1, ,2,2,2, , , , , , , , , , , , , , , , , , , ,2,3,5, ,5,4,4,1,4,2009,3,1,2011,2,1,1, ,1,1,3,5,0,1.16754266292123,6411.23203395623
10012,1,1111053112A,25,23,1995,1,12,2,2,0,1,1,0,0,3,0,1,1,1,1,13,14,19,20,29,1,29,2, ,2, ,3,5,2, , , ,2, ,1,3,2, ,3,4,5,5,2, , , , , , , , , , , ,5,2,2,2,2,1,10000,3,2,100,0,2, ,2,2,2,2,2,2,2,1,2,2,4,3,4,2,4,1, ,2,2,4,7,1, , , , , , , , , , , , , , , , , , , , , , , ,5,170,3,2, ,3, ,3, , , ,3, , , ,1,1,2,2,1,5,5,2,1,2,2,1, , , ,3,2,1, ,2,2,2,4,4,3,2,3,1,3,4,2, , ,3,2,3,4,1,2,2,3,4,2,3,3,4,3,3,4,2,3,2,4,3,4,3,1,1, , ,2,6,1, ,2, , , , , , , , , , , , , , , , , , , ,1,3,6, ,4,6,4, , , , , , , ,1,2, ,1,1,1,1,0,1.98657469594388,10908.7160006774
10013,1,1111053112A,2,2,1988,7,16,2,2,0,1,1,0,0,3,0,1,1,1,5,12,13,19,20,29,1,30,2, ,2, ,2,2,2, , , ,2, ,1,3,2, ,1,4,5,4,1,1,2,1,3,4,4,3, , , , , , ,2,2,1,5,9500,1,2,100,10,2, ,2,2,2,2,2,2,2,1,2,2,4,2,3,2,3,2,5,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , ,3,250,3,2, ,3, ,3, , , ,3, , , ,2, , , , ,7,4,1,2,2,2,1, , , ,4,1,1, ,2,2,4,4,4,4,4,3,2, ,4,2, , ,4,2,4,2,5,4,2,4,4,4,3,3,4,3,4,4,4,5,3,2,5,4,4,1,1, , ,1, ,1, ,2, , , , , , , , , , , , , , , , , , , ,1,3,5, ,6,4,4,1,1,2007,3,1,2014,2,1,1, ,1,1,6,3,4,1.29692305928116,7121.68807813482
10014,1,1111053112A,8,7,1986,4,17,2,1,0,1,1,0,0,2,0,1,1,1,3,10,14,18,19,35,1,35,2, ,2, ,4,1,2, , , ,2, ,1,3,2, ,1,4,4,5,1,1,1,1,3,4,3,4, , , , , , ,2,2,2,2,9000,1,1,120,5,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,5,2,1,1,2,2, , , , , , , , , , , , , , , , , , , , , , , ,3,250,3,2, ,2,2015,3, , , ,3, , , ,2, , , , ,6,5,2,2,2,2,1, , , ,4,2,1, ,2,2,4,4,4,5,3,3,1,1,4,2, , ,5,3,5,2,3,3,2,5,5,3,2,2,3,4,4,4,4,5,4,3,4,4,5,1,1, , ,1, ,1, ,2, , , , , , , , , , , , , , , , , , , ,1,3,3, ,6,4,4,4,5,2005,3,1,2013,2,1,1, ,1,1,6,2,4,1.53601588031807,8434.59903377003
10015,1,3120058041A,10,10,1997,4,18,2,2,0,1,1,0,0,3,0,1,1,1,6,13,14,20,21,35,2, ,2, ,2, ,4,1,2, , , ,2, ,1,3,2, ,3,4,4,5,1,2,2, ,4,4,4,4, , , , , , ,2,2,2,4,9200,3,2,50,100,2, ,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,3,2,1,3,3,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, , , ,3, , , ,2, , , , ,8,5,2,4,2,2,1, , , ,5,1,1, ,2,2,3,4,4,4,3,3,2, ,5,2, , ,6,4,4,3,1,3,2,3,4,3,3,4,3,2,3,3,3,3,3,2,3,3,2,1,1, , ,2,2,1, ,2, , , , , , , , , , , , , , , , , , , ,1,3,4, ,4,5,5,1,4,2016,3,2, , , , , , , , , , ,1.03641513197316,5691.18209176018
10016,1,3120058041A,1,1,1989,12,5,2,2,0,1,1,0,0,3,0,1,1,1,6,12,13,25,26,35,2, ,2, ,2, ,2,1,2, , , ,2, ,1,3,2, ,3,4,4,5,2, , , , , , , , , , , ,4,1,2,2,2,2,10000,1,1,100,100,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,5,3,3,2,1, ,3, , ,5,9,3,4,3,4,4,2,3,4,5,1,2,6,6,6, , , , , ,3, ,3, , , ,3, , , ,2, , , , ,8,4,4,4,2,2,1, , , ,5,1,1, ,2,2,3,3,4,3,4,4,2, ,5,2, , ,4,2,2,3,3,4,2,5,4,2,3,4,2,2,3,3,3,3,3,3,3,3,3,1,4, , ,2,5,1, ,2, , , , , , , , , , , , , , , , , , , ,1,3,6, ,4,4,4, , , , , , , , , , , , , , , ,.644575303460421,3539.50392142657
10017,1,3120058041A,57,55,1994,10,20,2,2,0,1,1,0,0,3,0,1,1,1,5,8,9,20,21,35,2, ,2, ,2, ,4,2,2, , , ,2, ,2,3,2, ,3,4,4,4,1,2,2, ,4,3,3,3, , , , , , ,2,2,2,4,9000,3,2,80,100,2, ,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,3,2,4,1,3,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, , , ,3, , , ,2, , , , ,8,4,2,3,2,2,1, , , ,5,1,1, ,2,2,3,3,3,4,3,3,2, ,4,2, , ,4,4,2,3,1,3,2,3,4,2,3,4,3,2,2,3,3,3,3,2,3,3,2,1,1, , ,2,3,2,1,1, , ,2019,8,1,1,1,1,3,3,3,3,2,4,1,4,5,4,3,1,3,5, ,4,4,4,1,1,2014,3,2, , , , , , , , , , ,1.03641513197316,5691.18209176018
10020,1,3120058041A,7,7,1980,6,6,2,2,0,0,2,0,1,4,0,1,1,1,6,13,14,22,23,35,2, ,2, ,2, ,1,1,1,1,1,1,1,1,2,3,2, ,2,4,4,5,1,2,2, ,3,3,3,2, , , , , , ,2,2,2,4,8500,2,2,140,0,2, ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,2,4,1,1, , , , , , , , , , , , , , , , , , , , , , , ,4,160,2,1,4,3, ,3, , , ,3, , , ,1,1,1,2,2,7,4,1,4,2,1,3, ,2, ,4,1,1, ,2,2,4,3,2,3,3,2,1,5,4,2, , ,6,2,4,4,1,2,2,2,4,2,2,4,4,2,4,4,4,4,3,3,3,4,3,1,1, , ,2,2,1, ,2, , , , , , , , , , , , , , , , , , , ,2,1,5, ,5,2,2,9,1,1999,3,1,2004,2,1,1, ,1,1,1,2,6,1.10858553101721,6087.4855322674
10021,1,31200130431,5,6,1980,7,27,1,2,0,1,2,0,1,4,0,2,2,2,5,13,14,20,21,35,2, ,2, ,2, ,5,2,1,1,1,2,1,2,2,3,2, ,2,4,4,4,2, , , , , , , , , , , ,3,2,2,2,2,4,9500,2,2,100,0,2, ,2,2,2,2,1,2,2,2,2,3,3,3,3,2,2,1, ,3,2,4,4,1, , , , , , , , , , , , , , , , , , , , , , , ,7,250,3,1,1,3, ,3, , , ,3, , , ,1,1,1,1, ,1,5,2,5,2,2,3, ,2, ,5,2,2,4,2,2,3,3,4,3,4,3,1,2,4,2, , ,2,2,1,2,1,4,2,3,4,2,4,4,3,2,2,3,3,4,4,3,4,4,4,1,1, , ,2,3,2,1,2, , , , , , , , , , , , , , , , , , , ,1,1,2, ,3,1,1, , , , , , , ,1,1, ,1,1,4,5,5,1.63705713592591,8989.43866000118
10022,1,31200130431,5,6,1980,10,18,1,2,0,1,2,0,1,4,0,2,2,2,6,13,14,19,20,34,2, ,2, ,1,30,1,1,1,1,1,2,1,2,2,3,2, ,2,3,4,4,2, , , , , , , , , , , ,2,2,2,2,2,4,9000,2,2,100,0,2, ,2,2,2,2,1,2,2,2,2,2,2,2,3,2,3,1, ,3,2,1,3,3,3,2,2,2,3, , ,3,0,3,2,1,2,4,1,1,2,4,4,2,5,4,8, , , , , ,3, ,3, , , ,3, , , ,1,1,1,1, ,1,4,1,5,2,2,3, ,2, ,5,2,2,4,2,2,4,1,3,4,3,1,1,3,4,2, , ,4,2,2,3,1,3,2,2,4,2,2,4,4,2,4,2,2,2,1,1,2,3,2,1,4, , ,2,2,1, ,2, , , , , , , , , , , , , , , , , , , ,2,1,2, ,4,1,1, , , , , , , , , , , , , , , ,1.76350583007093,9683.79608632951
10023,1,31200130431,6,7,1989,5,24,1,2,0,1,2,0,1,4,0,2,2,2,6,10,11,20,21,35,2, ,2, ,2, ,5,4,2, , , ,2, ,1,2,2, ,3,4,4,4,2, , , , , , , , , , , ,3,2,2,2,2,2,9000,3,2,80,0,2, ,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1, ,3,2,1,3,1, , , , , , , , , , , , , , , , , , , , , , , ,4,160,2,1,1,3, ,3, , , ,3, , , ,1,1,1,2,2,8,4,2,5,2,2,1, , , ,5,1,1, ,2,2,4,2,4,3,3,1,2, ,4,2, , ,6,2,4,4,1,2,2,3,4,3,3,4,3,2,3,3,3,3,3,3,3,3,3,1,1, , ,2,5,1, ,2, , , , , , , , , , , , , , , , , , , ,2,3,3, ,4,3,3, , , , , , , ,1,1, ,1,1,1,2,6,.695648050010218,3819.95553929116
10024,1,31200130431,6,7,1994,7,28,1,2,0,1,2,0,1,4,0,2,2,2,5,10,11,20,21,35,2, ,2, ,2, ,2,1,2, , , ,2, ,1,3,2, ,3,5,5,5,1,2,2, ,4,3,3,3, , , , , , ,2,2,2,4,9000,3,2,100,100,2, ,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,3,2,4,1,3,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, , , ,3, , , ,2, , , , ,8,4,2,4,2,2,1, , , ,5,1,1, ,2,2,3,2,4,3,3,1,2, ,4,2, , ,6,2,4,3,1,2,2,3,4,3,2,4,3,2,4,3,3,3,3,3,3,3,3,1,1, , ,2,5,2,1,2, , , , , , , , , , , , , , , , , , , ,1,3,4, ,4,3,3,9,1,2013,3,2, , , , , , , , , , ,1.64869924464134,9053.36802439153
10025,1,31200130431,0,16,1989,4,8,1,1,0,0,2,0,1,3,0,1,1,1,6,15,16,22,23,35,1,30,1,30,1,30,2,1,2, , , ,2, ,1,3,2, ,2,4,4,5,2, , , , , , , , , , , ,3,2,2,2,2,2,9000,3,2,70,0,2, ,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1, ,3,2,6,4,1, , , , , , , , , , , , , , , , , , , , , , , ,8,200,3,1,1,3, ,3, , , ,3, , , ,1,1,2,2,2,9,4,1,5,2,2,1, , , ,5,1,1, ,2,2,3,2,2,3,3,2,2, ,4,2, , ,5,3,4,3,1,2,2,2,4,2,3,4,2,2,3,2,2,2,1,2,2,2,2,1,1, , ,2,2,1, ,2, , , , , , , , , , , , , , , , , , , ,2,3,3, ,4,1,1, , , , , , , ,1,1, ,1,1,3,6,0,.695648050010218,3819.95553929116
10026,1,11180540021,5,7,1991,11,30,3,0,0,0,2,0,1,2,0,1,1,1,5,12,13,18,19,39,1,35,1,33,1,34,7,3,2, , , ,2, ,1,3,2, ,2,4,5,3,1,2,2, ,4,4,4,3, , , , , , ,2,2,2,4,9300,3,1,40,0,2, ,9,9,2,2,1,2,2,2,2,1,4,3,3,2,2,1, ,2,2,5,5,1, , , , , , , , , , , , , , , , , , , , , , , ,4,100,2,1,1,3, ,3, , , ,3, , , ,1,1,1,2,2,8,2,1,3,1,1,1, , , ,3,1,1, ,2,1,3,1,1,2,1,0,2, ,3,2, , ,5,4,3,5,1,1,2,6,4,4,3,4,5,3,4,4,3,4,2,2,4,3,4,2,1, , ,2,2,1, ,2, , , , , , , , , , , , , , , , , , , ,2,3,6, ,5,4,4,1,3,2011,3,1,2013,2,1,2, ,2,1,1,0,6,.443385699906436,2434.72782016021
10027,1,11180540021,3,5,1996,4,12,3,1,0,0,3,0,2,4,0,2,2,2,2,12,13,18,19,39,1,30,1,30,1,33,5,1,2, , , ,2, ,1,3,1,3,3,5,4,4,1,1,1,1,4,3,3,4, , , , , , ,1,2,2,2,11000,2,1,80,100,1,1,9,9,2,2,2,2,2,1,2,3,4,3,3,4,4,1, ,3,2,2,7,3,3,2,1, ,2, ,2, , ,3,4,2,2,2,1,1,2,2,4,2,6,6,7, , , , , ,3, ,3, , , ,3, , , ,2, , , , ,8,2,1,4,2,2,1, , , ,3,2,1, ,2,2,2,2,3,4,4,3,2, ,4,2, , ,6,4,2,3,7,2,2,7,4,3,3,4,3,4,4,4,4,5,4,3,4,3,3,1,1, , ,2,1,1, ,1, , ,2019,8,1,1,1,1,4,3,5,4,2,3,1,2,4,5,4,2,3,7, ,4,6,5,1,2,2015,3,2, , , , , , , , , , ,.80590872305095,4425.42100238234
10028,1,11180540021,3,5,1999,3,2,3,1,0,0,3,0,2,4,0,2,2,2,3,12,13,18,19,35,3, ,1,32,1,35,4,1,2, , , ,2, ,1,2,2, ,2,3,4,4,1,2,2, ,4,4,5,4, , , , , , ,2,2,2,4,10000,2,3,65,50,2, ,9,9,2,2,1,2,2,1,2,2,4,3,4,2,2,2,8,3,2,4,1,1, , , , , , , , , , , , , , , , , , , , , , , ,4,46,2,1,3,3, ,3, , , ,3, , , ,2, , , , ,7,4,3,2,2,1,1, , , ,4,2,1, ,2,2,4,4,2,3,3,4,2, ,4,2, , ,5,3,2,4,5,3,2,4,4,3,2,4,2,3,4,4,5,4,3,4,3,4,3,1,1, , ,1, ,1, ,1,2018,2, , ,2,1,2,2, ,4, , ,2,1,2,2,4,4,3,2,3,7, ,4,6,5,9,2,2018,3,2, , ,1,2, ,2,1,2,0,7,.494231371398523,2713.93251923515
10029,1,11180540021,8,10,1982,12,25,3,2,0,1,1,0,0,3,0,1,1,1,6,12,13,18,19,36,1,35,1,36,1,37,5,2,2, , , ,2, ,1,3,2, ,2,4,5,5,1,2,2, ,4,4,3,5, , , , , , ,2,1,2,7,10000,2,2,60,0,2, ,2,2,2,2,2,2,2,2,2,2,4,3,3,2,3,2,5,3,2,2,6,1, , , , , , , , , , , , , , , , , , , , , , , ,2,400,4,2, ,3, ,3, , , ,3, , , ,2, , , , ,6,3,2,2,2,2,1, , , ,4,1,1, ,2,2,4,3,2,4,3,4,1,3,4,2, , ,3,5,3,4,9,4,2,7,4,2,3,4,4,3,3,4,3,4,2,3,4,4,3,1,1, , ,1, ,1, ,2, , , , , , , , , , , , , , , , , , , ,1,3,5, ,6,6,5,9,7,2001,3,1,2008,2,1,1, ,1,5,4,10,5,.654881587248806,3596.09797907738
10030,1,11180540021,18,27,1980,6,28,3,1,0,0,2,0,1,3,0,1,1,1,5,13,14,19,20,39,2, ,3, ,1,32,4,4,2, , , ,2, ,2,3,2, ,1,4,4,3,2, , , , , , , , , , , ,3,2,2,2,2,4,9500,1,1,40,0,2, ,2,2,2,2,1,2,2,2,2,2,4,3,4,4,3,1, ,3,1,5,4,1, , , , , , , , , , , , , , , , , , , , , , , ,3,220,2,1,1,3, ,3, , , ,3, , , ,1,3,1,1, ,1,4,2,4,2,2,1, , , ,4,2,2,4,2,2,2,1,2,2,3,1,2, ,4,2, , ,5,3,3,2,1,3,2,3,3,4,2,3,3,2,4,5,3,4,2,3,4,3,3,1,1, , ,1, ,1, ,2, , , , , , , , , , , , , , , , , , , ,2,3,3, ,4,4,3, , , , , , , ,1,1, ,1,1,2,3,5,.840049803697986,4612.89714083068
10031,1,11180540021,10,12,1983,9,20,1,2,0,1,1,0,1,3,0,2,2,2,5,12,13,18,19,30,1,27,1,34,1,35,4,1,1,2, ,1,1,1,2,3,1,6,3,5,4,4,1,1,2,1,4,4,5,4, , , , , , ,2,2,2,5,10000,1,3,70,0,1,2,2,2,1,2,1,2,2,2,2,2,4,3,4,3,3,1, ,2,2,4,6,1, , , , , , , , , , , , , , , , , , , , , , , ,3,300,4,2, ,3, ,3, , , ,3, , , ,1,1,1,2,2,6,3,2,3,2,2,3, ,2, ,4,1,1, ,2,2,4,2,3,2,1,2,2, ,4,1,2,3,5,4,3,4,2,4,2,5,4,2,2,4,5,3,4,5,4,4,2,3,4,4,3,1,1, , ,2,1,1, ,2, , , , , , , , , , , , , , , , , , , ,2,1,7, ,6,5,4,1,3,2002,3,1,2007,2,1,1, ,1,3,3,7,6,.61470371372213,3375.47249104084
10032,1,11180540021,10,12,1983,5,17,1,2,0,1,1,0,1,3,0,2,2,2,7,12,13,19,20,30,2, ,1,35,1,35,2,3,1,1,3,1,1,1,1,3,1,2,2,3,4,4,1,1,2,3,3,4,4,5, , , , , , ,2,1,2,4,11000,2,2,50,0,1,2,2,2,2,2,1,2,2,2,2,2,4,3,4,3,2,2,4,3,2,6,4,1, , , , , , , , , , , , , , , , , , , , , , , ,3,250,3,1,1,3, ,3, , , ,3, , , ,2, , , , ,7,4,2,3,2,2,3, ,2, ,4,1,2,2,2,2,3,3,2,4,3,3,1,2,4,2, , ,2,2,1,3,1,2,2,3,3,3,2,3,4,4,5,4,4,3,3,2,4,3,2,1,1, , ,1, ,1, ,2, , , , , , , , , , , , , , , , , , , ,1,1,6, ,6,4,4,9,4,2002,3,1,2009,2,1,1, ,1,1,4,7,3,.654881587248806,3596.09797907738
